Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.100,145.4786,5.0
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.800,115.3492,5.0
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.850,165.0210,5.0
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.150,126.5046,5.0
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.600,55.1614,5.0
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.890,102.4016,5.0
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.800,81.4618,5.0
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.700,96.0726,5.0
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.750,124.1730,5.0
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,16.700,181.9292,5.0
Low Fat,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,7.050,109.8912,5.0
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.850,192.1846,5.0
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.100,112.3886,5.0
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.350,195.2110,5.0
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,19.350,173.1738,5.0
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.250,222.1772,5.0
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.850,93.7436,5.0
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.200,197.6110,5.0
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,8.985,98.7700,5.0
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.100,178.5660,5.0
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,15.100,60.2194,5.0
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,10.895,50.9666,5.0
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.850,261.6594,5.0
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.250,173.1764,5.0
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16.000,76.1986,5.0
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.350,150.2392,5.0
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,6.695,221.9456,5.0
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,17.700,47.4034,5.0
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.600,57.2614,5.0
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,6.920,93.1804,5.0
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,5.820,167.7790,5.0
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.800,196.3794,5.0
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.046545786,10.100,59.9878,5.0
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.184689756,7.670,35.4216,5.0
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.600,174.3054,5.0
Low Fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.037923509,9.310,61.6510,5.0
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,11.800,46.8402,5.0
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.150,88.6856,5.0
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,16.250,126.2046,5.0
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,13.850,119.6124,5.0
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.108148913,6.750,95.6752,5.0
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,15.700,62.9536,5.0
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,10.500,159.0946,5.0
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,9.300,104.2964,5.0
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654,20.750,150.5682,5.0
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.182501773,19.200,239.2196,5.0
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.100,127.3336,5.0
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.500,256.3304,5.0
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.500,235.5248,5.0
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.975,82.4250,5.0
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10.000,264.6226,5.0
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.100,114.9150,5.0
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.930,152.2340,5.0
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,7.300,147.2076,5.0
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.930,122.1414,5.0
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.350,62.7168,5.0
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.350,120.9098,5.0
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581,9.500,111.1228,5.0
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804,10.500,39.2164,5.0
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.600,111.9518,5.0
